Date,Segment_id,x,y,Evapotranspiration,Precipitation,Irrigation_pumping,Observed
730210,144,1086190,14476800,2.04,23.18,0,2.552459
730241,144,1086190,14476800,6.11,23.18,0,2.452459
730271,144,1086190,14476800,4.49,23.18,-0.030416,2.4
730302,144,1086190,14476800,8.15,23.18,-0.85826,2.4
730333,144,1086190,14476800,4.7,23.18,-0.44057,1.8098361
730363,144,1086190,14476800,5.45,23.18,-0.17374,0.6098361
730455,144,1086190,14476800,0.88,23.18,0,0.1935484
730486,144,1086190,14476800,0.83,15.65,0,0.5935484
730515,144,1086190,14476800,0.43,15.65,0,1.4766667
730546,144,1086190,14476800,0.86,15.65,0,2.9266667
730576,144,1086190,14476800,3.94,15.65,0,2.8204918
730607,144,1086190,14476800,8.05,15.65,-0.1047,0.9704918
716880,154,1138990,14497920,1.68,24.35,-0.035917,5.9655738
716910,154,1138990,14497920,1.04,24.35,-0.0097628,7.1155738
716941,154,1138990,14497920,0.67,24.35,-0.0097628,7.2403226
716972,154,1138990,14497920,0.28,19.86,-0.0097628,6.2903226
717000,154,1138990,14497920,1.22,19.86,-0.0097628,6.1889831
717031,154,1138990,14497920,1.31,19.86,-0.0097628,7.0389831
717061,154,1138990,14497920,5.53,19.86,-0.0097628,7.452459
717092,154,1138990,14497920,7.81,19.86,-0.0097628,7.352459
717122,154,1138990,14497920,10.67,19.86,-0.45071,5.5647541
717153,154,1138990,14497920,8.88,19.86,-0.59302,1.9147541
717184,154,1138990,14497920,7.4,19.86,-0.21269,0.9098361
717214,154,1138990,14497920,1.71,19.86,-0.018078,2.7598361
717245,154,1138990,14497920,2.4,19.86,-0.046098,3.7737705
717275,154,1138990,14497920,1.15,19.86,-0.0097628,3.9237705
717306,154,1138990,14497920,0.63,19.86,-0.0097628,4.0725806
717337,154,1138990,14497920,1.13,16.96,-0.011344,4.2225806
717366,154,1138990,14497920,0.61,16.96,-0.011344,5.1633333
717397,154,1138990,14497920,1.07,16.96,-0.011344,7.0133333
717427,154,1138990,14497920,3.01,16.96,-0.011344,7.1918033
717458,154,1138990,14497920,8.83,16.96,-0.011344,5.4918033
717488,154,1138990,14497920,8.79,16.96,-0.23255,3.5065574
717519,154,1138990,14497920,8.27,16.96,-0.62367,1.2065574
717792,154,1138990,14497920,5.04,34.66,-0.011344,1.307377
717823,154,1138990,14497920,6.65,34.66,-0.062237,4.057377
717853,154,1138990,14497920,6.13,34.66,-0.088588,7.1877049
717884,154,1138990,14497920,6.49,34.66,-0.45755,10.7377049
717915,154,1138990,14497920,6.86,34.66,-0.37327,13.16557377
717945,154,1138990,14497920,2.8,34.66,-0.011344,14.31557377
717976,154,1138990,14497920,1.89,34.66,-0.039628,16.0803279
718006,154,1138990,14497920,1.38,34.66,-0.011344,18.4803279
718037,154,1138990,14497920,0.68,34.66,-0.011344,19.433871
718068,154,1138990,14497920,0.34,17.26,-0.011344,18.883871
718096,154,1138990,14497920,0.64,17.26,-0.011344,18.4627119
718127,154,1138990,14497920,1.8,17.26,-0.011344,18.1627119
718157,154,1138990,14497920,3.59,17.26,-0.011344,15.45655738
718188,154,1138990,14497920,9.92,17.26,-0.069217,10.1065574
718218,154,1138990,14497920,8.02,17.26,-0.46687,5.5647541
718249,154,1138990,14497920,7.11,17.26,-0.45126,1.914754
718402,154,1138990,14497920,0.51,17.26,-0.011344,1.233871
718433,154,1138990,14497920,0.78,18.79,-0.011344,3.783871
718461,154,1138990,14497920,1.17,18.79,-0.011344,5.3059322
718492,154,1138990,14497920,2.71,18.79,-0.011344,5.7559322
718522,154,1138990,14497920,6.43,18.79,-0.011344,5.5245902
718553,154,1138990,14497920,4.77,18.79,-0.011344,4.5245902
718583,154,1138990,14497920,6.12,18.79,-0.31655,3.6196721
718614,154,1138990,14497920,6.77,18.79,-0.44737,2.8196721
718645,154,1138990,14497920,7.93,18.79,-0.46469,1.8098361
718675,154,1138990,14497920,4.43,18.79,-0.088222,0.6098361
718827,154,1138990,14497920,0.94,22.12,-0.011344,0.7
718858,154,1138990,14497920,2.23,22.12,-0.011344,2.2
718888,154,1138990,14497920,4.32,22.12,-0.011344,2.2868852
718919,154,1138990,14497920,5.9,22.12,-0.011344,0.7868852
719253,154,1138990,14497920,2.38,20.23,-0.011344,0.285246
719284,154,1138990,14497920,2.98,20.23,-0.011344,0.8852459
719314,154,1138990,14497920,7.65,20.23,-0.38712,0.9147541
719345,154,1138990,14497920,7.94,20.23,-0.45012,0.3147541
710701,176,790510,14424000,1.57,19.95,0,29.411667
710732,176,790510,14424000,0.79,19.95,0,39.9645161
710763,176,790510,14424000,0.93,25.36,0,42.1645161
710791,176,790510,14424000,1.21,25.36,0,43.1530907
710822,176,790510,14424000,1.48,25.36,0,42.8320666
710852,176,790510,14424000,6.36,25.36,0,41.349522
710883,176,790510,14424000,5.36,25.36,0,38.5973076
710913,176,790510,14424000,9.16,25.36,0,34.1219478
710944,176,790510,14424000,6.68,25.36,0,27.7451863
710975,176,790510,14424000,7.97,25.36,0,24.547541
711005,176,790510,14424000,4.78,25.36,0,24.847541
711036,176,790510,14424000,1.11,25.36,0,28.419143
711066,176,790510,14424000,0,25.36,0,35.3714
711097,176,790510,14424000,1.01,25.36,0,38.9045145
711128,176,790510,14424000,0.82,20.35,0,38.9045145
711156,176,790510,14424000,0.69,20.35,0,39.6128036
711187,176,790510,14424000,1.22,20.35,0,41.1605463
711217,176,790510,14424000,2.45,20.35,0,43.3936661
711248,176,790510,14424000,5.21,20.35,0,46.3251707
711278,176,790510,14424000,5.57,20.35,0,38.056237
711309,176,790510,14424000,9.21,20.35,0,17.4282
711340,176,790510,14424000,9.86,20.35,0,6.72818
711370,176,790510,14424000,7.24,20.35,0,6.974713
711401,176,790510,14424000,2.36,20.35,0,14.62459
711431,176,790510,14424000,0.8,20.35,0,29.92459
711462,176,790510,14424000,0.73,20.35,0,37.627419
711493,176,790510,14424000,0.48,22.06,0,37.477419
711522,176,790510,14424000,0.7,22.06,0,37.47
711553,176,790510,14424000,1.08,22.06,0,37.62
711583,176,790510,14424000,3.68,22.06,0,35.1090164
711614,176,790510,14424000,5.58,22.06,0,29.6590164
711644,176,790510,14424000,6.22,22.06,0,24.422951
711675,176,790510,14424000,8.81,22.06,0,19.422951
711706,176,790510,14424000,7.86,22.06,0,15.668852
711736,176,790510,14424000,7.73,22.06,0,13.368852
711767,176,790510,14424000,2.57,22.06,0,19.847541
711797,176,790510,14424000,0.52,22.06,0,35.397541
711828,176,790510,14424000,0.47,22.06,0,43.59032258
711859,176,790510,14424000,0,30.99,0,44.1903226
711887,176,790510,14424000,0.97,30.99,0,47.48464263
711918,176,790510,14424000,0.38,30.99,0,54.0066395
711948,176,790510,14424000,2.21,30.99,0,54.6573067
711979,176,790510,14424000,4.26,30.99,0,48.58531
712009,176,790510,14424000,5.64,30.99,0,35.463934
712040,176,790510,14424000,9.52,30.99,0,14.563934
712071,176,790510,14424000,6.89,30.99,0,12.304918
712101,176,790510,14424000,6.93,30.99,0,30.004918
712132,176,790510,14424000,2.98,30.99,0,39.7555728
712162,176,790510,14424000,1.72,30.99,0,41.2919042
712193,176,790510,14424000,0.98,30.99,0,43.4469204
712224,176,790510,14424000,0.76,13.72,0,46.2870526
712252,176,790510,14424000,1.03,13.72,0,45.4856896
712283,176,790510,14424000,1.32,13.72,0,40.5313551
712313,176,790510,14424000,4.07,13.72,0,35.8132462
712344,176,790510,14424000,5.91,13.72,0,31.541117
712374,176,790510,14424000,9.4,13.72,0,22.3352459
712405,176,790510,14424000,9.23,13.72,0,7.685246
712678,176,790510,14424000,1.34,23.87,0,1.31534
712709,176,790510,14424000,5.43,23.87,0,4.082091
712739,176,790510,14424000,5.9,23.87,0,5.8778934
712770,176,790510,14424000,8.93,23.87,0,6.6023049
712801,176,790510,14424000,8.24,23.87,0,7.1350139
712831,176,790510,14424000,6.38,23.87,0,7.4454833
712862,176,790510,14424000,3.64,23.87,0,7.7254113
712892,176,790510,14424000,1.95,23.87,0,7.9737799
712923,176,790510,14424000,0.6,23.87,0,7.9010802
712954,176,790510,14424000,0.79,12.11,0,7.489979
712983,176,790510,14424000,0.57,12.11,0,6.816312
713014,176,790510,14424000,0.38,12.11,0,5.827413
713044,176,790510,14424000,2.31,12.11,0,5.038525
713075,176,790510,14424000,4.97,12.11,0,4.4885246
713105,176,790510,14424000,11.18,12.11,0,2.0368852
713136,176,790510,14424000,11.57,12.11,0,-2.5131148
713167,176,790510,14424000,9.6,12.11,0,-3.1458429
713197,176,790510,14424000,7.21,12.11,0,0.4209432
713228,176,790510,14424000,2.93,12.11,0,2.3077254
713258,176,790510,14424000,0.16,12.11,0,2.458504
713289,176,790510,14424000,0,12.11,0,3.288574
713320,176,790510,14424000,0.77,12.89,0,4.845695
713348,176,790510,14424000,0.64,12.89,0,6.501986
713379,176,790510,14424000,1.72,12.89,0,8.3651115
713409,176,790510,14424000,1.96,12.89,0,8.8769575
713440,176,790510,14424000,6.85,12.89,0,7.8280464
713470,176,790510,14424000,8.9,12.89,0,4.692092
713501,176,790510,14424000,8.8,12.89,0,-0.7468071
713532,176,790510,14424000,7.63,12.89,0,-3.4278689
713562,176,790510,14424000,8.06,12.89,0,-3.0778689
713593,176,790510,14424000,2.69,12.89,0,-0.195082
713623,176,790510,14424000,0.61,12.89,0,5.304918
713654,176,790510,14424000,0.29,12.89,0,8.2281739
713685,176,790510,14424000,0.74,9.99,0,8.4930666
713713,176,790510,14424000,1.44,9.99,0,8.8963794
713744,176,790510,14424000,0.73,9.99,0,9.4789366
713774,176,790510,14424000,5.96,9.99,0,8.5784334
713805,176,790510,14424000,6.26,9.99,0,6.0196592
713835,176,790510,14424000,9.69,9.99,-0.13165,2.4720794
713866,176,790510,14424000,10.42,9.99,-0.25116,-2.1665964
713897,176,790510,14424000,9.78,9.99,-0.10561,-2.7803279
713927,176,790510,14424000,6.2,9.99,-0.023807,0.9196721
713958,176,790510,14424000,1.58,9.99,-0.0081949,3.7249474
713988,176,790510,14424000,1.47,9.99,0,5.605674
714019,176,790510,14424000,0.98,9.99,0,7.199811
714050,176,790510,14424000,0.54,11.33,0,8.5190846
714078,176,790510,14424000,0.48,11.33,0,8.8567797
714109,176,790510,14424000,1.38,11.33,0,8.1067797
714139,176,790510,14424000,3.03,11.33,0,6.4163934
714170,176,790510,14424000,5.6,11.33,0,3.7163934
714200,176,790510,14424000,6.32,11.33,-0.12831,0.897541
714231,176,790510,14424000,10.01,11.33,-0.24205,-2.052459
714262,176,790510,14424000,9.03,11.33,-0.13167,-2.0262295
714292,176,790510,14424000,6.97,11.33,-0.010837,1.1737705
714323,176,790510,14424000,3.03,11.33,-0.015941,2.947541
714353,176,790510,14424000,0.88,11.33,0,3.247541
714384,176,790510,14424000,0.92,11.33,0,4.343548
714415,176,790510,14424000,0.65,12.16,0,6.293548
714444,176,790510,14424000,0.7,12.16,0,7.1133333
714475,176,790510,14424000,1.51,12.16,0,6.7133333
714505,176,790510,14424000,3.24,12.16,0,5.4120464
714536,176,790510,14424000,7.89,12.16,0,3.1235923
714566,176,790510,14424000,9.88,12.16,-0.19972,2.6010739
714597,176,790510,14424000,8.01,12.16,-0.17343,4.02717444
714628,176,790510,14424000,7.79,12.16,-0.10565,4.03635635
714658,176,790510,14424000,7.65,12.16,-0.030916,0.2149018
710518,171,1508590,14524320,6.63,21.41,0,7.6451613
710548,171,1508590,14524320,6.59,21.41,0,10.363934
710579,171,1508590,14524320,8.65,21.41,0,7.7639344
710610,171,1508590,14524320,7.23,21.41,0,4.8262295
710640,171,1508590,14524320,6.38,21.41,0,1.6262295
710671,171,1508590,14524320,4.18,21.41,0,0.49180328
710701,171,1508590,14524320,1.38,21.41,0,1.4918033
710732,171,1508590,14524320,0.59,21.41,0,2.4112903
710763,171,1508590,14524320,0.97,27.95,0,3.2612903
710791,171,1508590,14524320,1.34,27.95,0,3.8372881
710822,171,1508590,14524320,1.79,27.95,0,4.1372881
710852,171,1508590,14524320,8.23,27.95,0,4.5852459
710883,171,1508590,14524320,5.12,27.95,0,5.1852459
710913,171,1508590,14524320,8.41,27.95,0,4.7631148
710944,171,1508590,14524320,7.94,27.95,0,3.2131148
710975,171,1508590,14524320,7.79,27.95,0,2.4737705
711005,171,1508590,14524320,4.24,27.95,0,2.6237705
711036,171,1508590,14524320,0,27.95,0,4.052459
711066,171,1508590,14524320,0,27.95,0,6.802459
711097,171,1508590,14524320,1.08,27.95,0,9.1193548
711128,171,1508590,14524320,0.8,23.71,0,11.0193548
711156,171,1508590,14524320,0.81,23.71,0,12.961017
711187,171,1508590,14524320,1.3,23.71,0,15.061017
711217,171,1508590,14524320,2.59,23.71,0,15.962295
711248,171,1508590,14524320,5.94,23.71,0,15.462295
711278,171,1508590,14524320,5.25,23.71,-0.023143,14.986066
711309,171,1508590,14524320,7.68,23.71,-0.048753,14.536066
711340,171,1508590,14524320,9.93,23.71,-0.049972,11.840984
711370,171,1508590,14524320,6.93,23.71,-0.032274,6.8409836
711401,171,1508590,14524320,3.76,23.71,0,4.8163934
711431,171,1508590,14524320,0.48,23.71,0,5.8663934
711462,171,1508590,14524320,0.4,23.71,0,6.1096774
711493,171,1508590,14524320,0.7,16.56,0,5.5096774
711522,171,1508590,14524320,0.77,16.56,0,5.62
711553,171,1508590,14524320,0.98,16.56,0,6.52
711583,171,1508590,14524320,5.4,16.56,0,6.2155738
711614,171,1508590,14524320,6.95,16.56,0,4.5655738
711644,171,1508590,14524320,5.13,16.56,-0.019301,3.4622951
711675,171,1508590,14524320,8.19,16.56,-0.04066,2.9622951
711706,171,1508590,14524320,7.31,16.56,-0.041677,2.0360656
711736,171,1508590,14524320,5.89,16.56,-0.026916,0.68606557
711767,171,1508590,14524320,2.35,16.56,0,0.49180328
711797,171,1508590,14524320,0.24,16.56,0,1.4918033
711828,171,1508590,14524320,0.58,16.56,0,1.516129
711859,171,1508590,14524320,0,28.94,0,0.51612903
711887,171,1508590,14524320,0.66,28.94,0,1.7389831
711918,171,1508590,14524320,0,28.94,0,5.5389831
711948,171,1508590,14524320,1.98,28.94,0,8.6459016
711979,171,1508590,14524320,3.56,28.94,0,10.845902
712009,171,1508590,14524320,6.73,28.94,-0.019442,12
712040,171,1508590,14524320,8.61,28.94,-0.040958,12
712071,171,1508590,14524320,6.2,28.94,-0.041982,11.016393
712101,171,1508590,14524320,6.13,28.94,-0.027113,9.0163934
712132,171,1508590,14524320,2.2,28.94,0,8.3688525
712162,171,1508590,14524320,1.28,28.94,0,9.1188525
712193,171,1508590,14524320,0.88,28.94,0,8.5322581
712224,171,1508590,14524320,0.69,24.87,0,6.5322581
712252,171,1508590,14524320,0.46,24.87,0,6.4838983
712283,171,1508590,14524320,1.23,24.87,0,8.6338983
712313,171,1508590,14524320,3.25,24.87,0,8.7065574
712344,171,1508590,14524320,3.77,24.87,0,6.4065574
712374,171,1508590,14524320,10.22,24.87,-0.0027739,5.342623
712405,171,1508590,14524320,4.99,24.87,-0.0058437,5.642623
712436,171,1508590,14524320,6.34,24.87,-0.0059898,6.5377049
712466,171,1508590,14524320,5.76,24.87,-0.0038684,8.0377049
712497,171,1508590,14524320,4.15,24.87,0,8.9721311
712527,171,1508590,14524320,1.19,24.87,0,9.3221311
712558,171,1508590,14524320,0.9,24.87,0,8.6048387
712589,171,1508590,14524320,0.85,40.38,0,6.7548387
712617,171,1508590,14524320,1.09,40.38,0,6.7610169
712648,171,1508590,14524320,1.53,40.38,0,8.8610169
712678,171,1508590,14524320,2.5,40.38,0,10.6655738
712709,171,1508590,14524320,5.95,40.38,0,12.0655738
712739,171,1508590,14524320,5.88,40.38,-0.0013023,14.25
712770,171,1508590,14524320,6,40.38,-0.0027434,17.3
712801,171,1508590,14524320,5.46,40.38,-0.002812,19.1213115
712831,171,1508590,14524320,3.43,40.38,-0.0018161,19.5713115
712862,171,1508590,14524320,2.9,40.38,0,19.2836066
712892,171,1508590,14524320,1.35,40.38,0,18.2336066
712923,171,1508590,14524320,0.65,40.38,0,17.5548387
712954,171,1508590,14524320,0.76,19.65,0,17.2548387
712983,171,1508590,14524320,0.36,19.65,0,17.66
713014,171,1508590,14524320,0.58,19.65,0,18.86
713044,171,1508590,14524320,1.13,19.65,0,18.4778689
713075,171,1508590,14524320,5.63,19.65,0,16.327869
713105,171,1508590,14524320,10.6,19.65,-0.0027334,13.013115
713136,171,1508590,14524320,7.79,19.65,-0.0057582,8.4131148
713167,171,1508590,14524320,6.94,19.65,-0.0059021,4.7459016
713197,171,1508590,14524320,6.58,19.65,-0.0038118,2.1959016
713228,171,1508590,14524320,2.66,19.65,0,1.5147541
713258,171,1508590,14524320,0.55,19.65,0,2.7647541
713289,171,1508590,14524320,0.68,19.65,0,3.9080645
713320,171,1508590,14524320,1,19.28,0,4.9580645
713348,171,1508590,14524320,0.88,19.28,0,5.7745763
713379,171,1508590,14524320,1.56,19.28,0,6.3745763
713409,171,1508590,14524320,3.23,19.28,0,7.0090164
713440,171,1508590,14524320,6.37,19.28,0,7.6590164
713470,171,1508590,14524320,10.03,19.28,-0.0038115,7.6672131
713501,171,1508590,14524320,6.53,19.28,-0.0080295,6.9672131
713532,171,1508590,14524320,7.9,19.28,-0.0082302,5.7147541
713562,171,1508590,14524320,6.16,19.28,-0.0053154,3.9147541
713593,171,1508590,14524320,1.37,19.28,0,3.2459016
713623,171,1508590,14524320,0,19.28,0,3.7459016
713654,171,1508590,14524320,0.49,19.28,0,4.1451613
713685,171,1508590,14524320,0.81,18.09,0,4.4451613
713713,171,1508590,14524320,1.57,18.09,0,4.7372881
713744,171,1508590,14524320,2.17,18.09,0,5.0372881
713774,171,1508590,14524320,7.43,18.09,0,5.1286885
713805,171,1508590,14524320,6.34,18.09,0,4.9786885
713835,171,1508590,14524320,11.5,18.09,-0.0043409,3.7352459
713866,171,1508590,14524320,11.92,18.09,-0.0091447,1.2852459
714019,171,1508590,14524320,1.02,18.09,0,0.48387097
714050,171,1508590,14524320,0.38,17,0,1.483871
714078,171,1508590,14524320,0.53,17,0,2
714109,171,1508590,14524320,1.93,17,0,2
714139,171,1508590,14524320,4.33,17,0,1.5245902
714170,171,1508590,14524320,7.83,17,0,0.52459016
714870,171,1508590,14524320,1.84,32.14,0,0.47540984
714901,171,1508590,14524320,3.63,32.14,0,1.4754098
714931,171,1508590,14524320,6.69,32.14,-0.01459,2.095082
714962,171,1508590,14524320,9.33,32.14,-0.030735,2.295082
714993,171,1508590,14524320,8.85,32.14,-0.031503,2.4
715023,171,1508590,14524320,5.58,32.14,-0.020346,2.4
715054,171,1508590,14524320,1.41,32.14,0,2.547541
715084,171,1508590,14524320,0.78,32.14,0,2.847541
715115,171,1508590,14524320,1.13,32.14,0,3.3870968
715146,171,1508590,14524320,0.98,24.02,0,4.1870968
715174,171,1508590,14524320,0.26,24.02,0,5.0118644
715205,171,1508590,14524320,0,24.02,0,5.9118644
715235,171,1508590,14524320,1.4,24.02,0,6.6139344
715266,171,1508590,14524320,5.75,24.02,0,7.0639344
715296,171,1508590,14524320,8.2,24.02,-0.0089588,6.5868852
715327,171,1508590,14524320,6.48,24.02,-0.018873,5.0868852
715358,171,1508590,14524320,8,24.02,-0.019345,3.242623
715388,171,1508590,14524320,6.89,24.02,-0.012494,1.092623
715419,171,1508590,14524320,3.55,24.02,0,0.44262295
715449,171,1508590,14524320,1,24.02,0,1.342623
715480,171,1508590,14524320,0.62,24.02,0,2.0903226
715511,171,1508590,14524320,0.34,22.81,0,2.6903226
715539,171,1508590,14524320,0.72,22.81,0,3.2974576
715570,171,1508590,14524320,0.7,22.81,0,3.9474576
715600,171,1508590,14524320,3.8,22.81,0,3.9909836
715631,171,1508590,14524320,7.12,22.81,0,3.3409836
715661,171,1508590,14524320,8.19,22.81,-0.020524,2.2868852
715692,171,1508590,14524320,9.1,22.81,-0.043237,0.78688525
715905,171,1508590,14524320,0,27.45,0,0.46666667
715936,171,1508590,14524320,0.85,27.45,0,1.4666667
715966,171,1508590,14524320,2.74,27.45,0,2
715997,171,1508590,14524320,7.04,27.45,0,2
716027,171,1508590,14524320,7.48,27.45,-0.014865,1.5245902
716058,171,1508590,14524320,10.7,27.45,-0.031315,0.52459016
716211,171,1508590,14524320,0.35,27.45,0,0.43548387
716242,171,1508590,14524320,0.93,29.67,0,1.3354839
716270,171,1508590,14524320,1.29,29.67,0,2.3033898
716301,171,1508590,14524320,1.34,29.67,0,3.4033898
716331,171,1508590,14524320,4,29.67,0,4.2139344
716362,171,1508590,14524320,4.45,29.67,0,4.6639344
716392,171,1508590,14524320,8.54,29.67,-0.02637,4.2106557
716423,171,1508590,14524320,10.52,29.67,-0.055552,2.7606557
716454,171,1508590,14524320,8.38,29.67,-0.056941,1.5081967
716484,171,1508590,14524320,5.43,29.67,-0.036774,0.50819672
716515,171,1508590,14524320,3.61,29.67,0,0.73770492
716545,171,1508590,14524320,0.76,29.67,0,2.2377049
716576,171,1508590,14524320,0.27,29.67,0,2.6129032
716607,171,1508590,14524320,0.8,27.97,0,1.8129032
716635,171,1508590,14524320,1.01,27.97,0,1.4915254
716666,171,1508590,14524320,0.51,27.97,0,1.6915254
716696,171,1508590,14524320,5.48,27.97,0,1.7286885
716727,171,1508590,14524320,7,27.97,0,1.5786885
716757,171,1508590,14524320,5.21,27.97,-0.012793,1.6188525
716788,171,1508590,14524320,6.58,27.97,-0.026951,1.8688525
716819,171,1508590,14524320,8.62,27.97,-0.027625,2.2459016
716849,171,1508590,14524320,5.17,27.97,-0.017841,2.7459016
716880,171,1508590,14524320,1.68,27.97,0,3.1229508
716910,171,1508590,14524320,1.04,27.97,0,3.3729508
716941,171,1508590,14524320,0.67,27.97,0,3.4274194
716972,171,1508590,14524320,0.28,26.65,0,3.2774194
717000,171,1508590,14524320,1.22,26.65,0,3.2686441
